,Ticker,TotalAssets,PrimarySector,MarketCapitalization,NumberEmployees,TransactionType,TransactionValue
114,TSX:T,33065.0,Communication Services,29346.7,58000.0,5.0,734.074
115,TSX:TFII,4050.0,Industrials,3241.5,17636.0,0.0,0.0
116,TSX:BNS,998493.0,Financials,85329.1,99678.0,447.0,169.41914988814307
117,TSX:DSG,858.9,Information Technology,4015.2,1356.0,0.0,0.0
118,TSX:TSGI,15372.3,Consumer Discretionary,6113.9,4516.0,3.0,972.6
119,TSX:TD,1334903.0,Financials,139949.9,87999.0,252.0,333.37551587301584
120,TSX:TRI,23261.3,Industrials,43979.9,25800.0,4.0,1299.9025
121,TSX:X,31657.9,Financials,5191.6,1280.0,2.0,250.0
122,TSX:TIH,3234.5,Industrials,5103.1,6000.0,1.0,500.0
123,TSX:TOU,10732.5,Energy,4600.4,237.0,5.0,209.916
124,TSX:RNW,3747.0,Utilities,3727.1,1.0,2.0,282.515
125,TSX:VET,6270.7,Energy,4419.2,698.0,1.0,402.2
126,NYSE:WCN,17230.5,Industrials,33303.5,16356.0,12.0,198.4575000000001
127,TSX:WFT,4791.0,Materials,3758.8,7800.0,1.0,525.18
128,TSX:WJA,6758.1,Industrials,3500.6,11905.0,2.0,299.185
129,TSX:WPM,8828.6,Materials,14000.9,39.0,1.0,713.3
130,TSX:WSP,7766.6,Industrials,7728.9,49000.0,0.0,0.0
131,TSX:YRI,10933.9,Materials,3268.9,5165.0,1.0,385.61
